1340,290,95,1417,4555,266	294,0.767038789332;445,0.736487253601;476,0.732468510741;408,0.722559388786;484,0.720934675905;412,0.719743615731;727,0.713245788517;390,0.710340243121;337,0.709296465942;1176,0.708331592601;1325,0.701978809986;283,0.698501927983;956,0.695714637067;444,0.69535675916;536,0.694865521735;475,0.69391770866;292,0.693337621852;131121,0.69264158977;734,0.692175573497;54,0.691917960216;216,0.687944831801;6608,0.686042115315;310,0.685538667105;95,0.684972161456;473,0.684196324126;464,0.678020655892;289,0.677033381767;3793,0.675081684202;3541,0.671417575469;3141,0.671231295616;675,0.670465647542;2002,0.667673990494;3320,0.664072286615;68,0.66055065304;1689,0.657065888077;789,0.655832037346;93,0.65281299793;510,0.652462957386;424,0.652173585045;3884,0.649830283528;100,0.645385633046;284,0.642416430491;863,0.640922860727;531,0.640756149174;523,0.639488969931;386,0.638398819596;328,0.638105622386;333,0.634919520341;4628,0.634189620949;865,0.634107590139;714,0.634063501587;984,0.63329868987;347,0.63308204834;1463,0.632977217664;275,0.628006568386;129,0.626175481034;427,0.625666419673;1593,0.625214121585;35282,0.624795238099;1983,0.6239133597;688,0.622821939943;18045,0.622542685099;428,0.621620291562;87166,0.61821364577;108,0.618052087356;72514,0.617779040327;74578,0.617129313923;2479,0.615489226305;182933,0.6153202628;1346,0.613983561946;151688,0.613260868771;879,0.609928208788;69881,0.609793893284;268,0.608983151995;4134,0.608374519608;463,0.60757995141;1931,0.606923336011;8305,0.605912539899;51519,0.605765764312;113,0.603939489883;389,0.601910450941;266,0.601554115175;1376,0.600674372001;900,0.59841225136;18945,0.596034957016;979,0.595931808942;770,0.594134213726;3250,0.593036626501;5552,0.592920834583;2473,0.592326622111;1862,0.590110155388;4616,0.590050539021;505,0.589210843071;12434,0.587843016835;92,0.587152640482;1619,0.586685661247;64572,0.586449489384;226,0.584721033487;1367,0.584616126883;88348,0.581495167655
3518,382,3375,714	294,0.797006117304;445,0.782014720894;476,0.767138039792;412,0.761314491442;444,0.756947445085;408,0.754503698185;1325,0.753465325367;734,0.751468930998;390,0.750319519719;727,0.74434034931;1176,0.743706257298;283,0.742396321172;3793,0.74101851799;289,0.736557278472;54,0.734398233564;484,0.734103192284;956,0.732577985122;310,0.731238918997;216,0.73113284707;475,0.730953610461;675,0.730059643392;292,0.728948155679;464,0.727700414878;131121,0.723222618537;337,0.721286293453;473,0.720171555589;3541,0.718568019763;789,0.718515546904;2002,0.716935755062;3320,0.714269699496;347,0.711860209976;284,0.706723286801;6608,0.705231222497;536,0.703704103282;3141,0.702204434965;95,0.699418387292;3884,0.697230731784;93,0.694514987462;386,0.694462150102;100,0.691556147245;328,0.691308448061;268,0.69091846593;428,0.690127781685;1689,0.687979161715;510,0.687747577157;714,0.687133903819;275,0.686573024045;424,0.68271367071;333,0.681326607159;68,0.681236541184;865,0.680013224774;427,0.67699230006;863,0.674363598869;51519,0.668485901158;4628,0.667302464101;1346,0.667251515787;2479,0.665836706758;87166,0.66496027841;688,0.664812597498;1593,0.66461063945;531,0.66236278233;389,0.661726920531;129,0.661628888695;984,0.659481096718;18045,0.658656812124;3250,0.657744033756;5994,0.657384260032;1931,0.655866881706;4134,0.655729996962;879,0.65292611605;505,0.652598466497;69881,0.652566196299;523,0.652026300766;463,0.6518278835;72514,0.650141451932;10737,0.648550888809;108,0.647795334929;74578,0.647141127628;151688,0.646760956086;1862,0.644361626106;979,0.64406635962;182933,0.643287811423;1619,0.642970542496;4616,0.641217677921;223,0.640739506333;440,0.640045323704;92,0.639675090279;436,0.639087843003;1376,0.63823609788;1448,0.637589012286;35282,0.637173797533;1983,0.636973873154;1367,0.635675028028;770,0.634284129266;449,0.634195801984;113,0.633299991024;509,0.633100213464;1463,0.629901494983;900,0.628694429397;12434,0.628585699091
286,302,9890,1187,8,7663,41516,26244,12253,4890,12113,1448,304,140,511,266,1380,16458,514,401,294	473,0.170771250287;294,0.169987478391;476,0.168467861026;412,0.166520152842;1376,0.165409144294;69881,0.165224089278;3479,0.165113431793;102167,0.163375397469;2422,0.162766494177;1593,0.162521050378;87155,0.162463069375;3793,0.162371540718;427,0.162287929874;108,0.162196189193;4628,0.162145233023;734,0.162144811952;275,0.161850989711;1463,0.161822045055;51519,0.161795691265;284,0.161608468964;436,0.16159451429;531,0.161569514597;7775,0.161429974226;28912,0.160809456214;536,0.160710930027;95,0.160572664024;484,0.160036201354;151688,0.159749791949;4631,0.159678758356;11936,0.159639924681;1325,0.159600938763;424,0.159594511144;74578,0.159574142417;72514,0.159521647495;675,0.159515158534;129,0.159252583205;92,0.159250987104;5096,0.159188493986;123,0.159140887449;1983,0.159079896484;292,0.159022941919;499,0.159012483975;278,0.158955134624;35933,0.158903155353;11745,0.158747554977;714,0.158736283931;25674,0.158683376003;70793,0.158650817046;32040,0.158530272002;98653,0.158528045688;80,0.158498692525;3884,0.158234426729;390,0.158232934181;1195,0.158184765938;386,0.158109187719;408,0.158020759419;56333,0.157998904437;33757,0.157980667399;64572,0.157919783938;20663,0.157900476448;432,0.15773268673;389,0.157702851509;893,0.157696074295;421,0.157680842264;489,0.157466549013;28064,0.157454782567;2047,0.157341614495;51068,0.157277392048;506,0.15723669516;162,0.157188678797;182933,0.157177624088;4947,0.157142758519;18574,0.157021283511;328,0.156988938843;727,0.156983732647;1346,0.156855893653;6608,0.156824900816;2944,0.156663490813;46612,0.156579593451;1823,0.156554374711;141,0.156454854381;140168,0.15636853189;9554,0.156362398934;440,0.156355291239;863,0.15633069939;17595,0.156144507467;61409,0.156111964454;1812,0.156101945084;1028,0.15608046331;47310,0.156058607136;452,0.155961069841;770,0.155924761122;3541,0.155911331467;21345,0.15574739631;3141,0.1557449197;81765,0.155537719371;1013,0.155464080097;20177,0.155415628955;31295,0.155412593344;34395,0.155388404071
289,903,152,2460	294,0.778990438204;445,0.752994645753;476,0.732370854377;484,0.728552908693;1325,0.723706475865;734,0.717771790034;727,0.716820803802;412,0.713191805;408,0.710941609452;283,0.710369663744;310,0.709920705739;390,0.700543402914;444,0.697604415939;1176,0.696617712137;289,0.693160942121;956,0.692122599787;95,0.690556933895;216,0.690463374291;337,0.688629555121;3541,0.683816583533;54,0.683547024524;292,0.681049726643;675,0.679617234417;2002,0.678133682533;464,0.672881677745;93,0.671728307613;473,0.671308949458;475,0.670125531253;1689,0.666459210668;131121,0.666294617161;789,0.665409855418;536,0.66402908452;347,0.657960607772;3793,0.657683234172;284,0.649381741929;427,0.646990034264;6608,0.646497429406;510,0.644854630363;3141,0.642775087172;333,0.639760414611;424,0.637795537574;688,0.63738937936;51519,0.635755984507;3320,0.634082240879;1593,0.631551087595;268,0.630565086415;68,0.630254923478;3884,0.627588751836;531,0.627300839259;386,0.627188402879;72514,0.626682157545;714,0.625482075172;428,0.624371149201;275,0.624059977151;865,0.622701108956;129,0.618970854011;2479,0.61632649339;984,0.61402142098;863,0.612918036683;523,0.61242538431;1931,0.609515239428;100,0.608658817278;1346,0.606863668449;87166,0.601862319202;74578,0.599675169916;440,0.597653379943;900,0.594668008508;436,0.594169204291;328,0.592168310256;27892,0.592007596636;4628,0.591381037706;1619,0.59010098603;4616,0.587455865461;770,0.587104743114;1376,0.585765561068;12434,0.58520844145;108,0.58477581403;3250,0.584335947579;879,0.584194331692;433,0.584128039704;10737,0.58351465316;5994,0.582948379943;389,0.580046688498;509,0.57991887747;182933,0.579735734374;1463,0.576121098207;979,0.575085405118;1983,0.574304935992;35282,0.574104331935;505,0.572581038734;151688,0.572024060137;64572,0.570218273199;463,0.569190021451;1367,0.568746865709;75665,0.567577944177;38322,0.567023948979;266,0.566662812233;5552,0.566339870992;92,0.565851923508;2473,0.56468686798
1340,347,1494,113,110,439,556,8936,859,3793,727,1983,403	294,0.386985687552;445,0.354817880504;473,0.341014596272;412,0.340981150815;734,0.340656221675;476,0.338332267849;408,0.338051368207;289,0.337335575216;1325,0.336736934224;464,0.33165929646;283,0.331350154301;347,0.328504766858;444,0.327545984043;390,0.323972391299;54,0.323045603886;536,0.322926477581;484,0.321687471709;95,0.320824586685;216,0.320287435407;789,0.320095613665;5994,0.319105882199;3141,0.318958223101;92,0.317370362002;475,0.31633545361;337,0.316075663513;427,0.31452657243;956,0.312122682465;284,0.310365470412;93,0.309881051736;1176,0.309731960158;310,0.309157108755;275,0.309095892092;68,0.308066793065;675,0.30764049934;727,0.307017709209;2479,0.305282310279;3793,0.305078798882;292,0.304524452118;3320,0.303597234506;428,0.30273715853;386,0.302359951247;424,0.301622457344;131121,0.300835961998;51519,0.300534097973;1346,0.29886248234;865,0.298521523191;863,0.298239378491;328,0.296714985895;3250,0.29653760077;389,0.296496073858;1862,0.295564854869;2002,0.295318438316;984,0.295095921143;15234,0.294041401463;100,0.293453999515;510,0.292593300395;266,0.291896050614;4628,0.291702112502;505,0.291662915297;2473,0.291454445157;6608,0.29144239491;452,0.291354101024;531,0.291224334905;87166,0.291153436897;58,0.290885290161;3884,0.290880999325;1689,0.290072371446;1619,0.289898363501;333,0.289637142453;506,0.289445795654;1013,0.289367812006;879,0.289278211159;28912,0.289120484541;129,0.289085155286;463,0.288761957727;75665,0.288751430141;72514,0.287777308012;1463,0.286946960996;1448,0.285275305813;108,0.285019858011;2422,0.283943463704;688,0.283653356648;714,0.283565884776;18045,0.283485560164;223,0.283346265781;74578,0.283288124711;64572,0.28277365391;69881,0.282705986946;1593,0.282230443742;391,0.282196382837;523,0.281965025523;3541,0.28186562327;113,0.281846910806;1092,0.281144804969;1376,0.279751131016;12434,0.279067110866;1367,0.278818900788;151688,0.278159113823;729,0.278071924723;237,0.277580995442
1325,475,409,1872,1466,73,129,4875,2226,818,13012,218,1418,476,730,3883,1961,1943,151,7694,6221,6227,27837,7699,12021,22708,1956	476,0.181552287909;294,0.180300171605;473,0.179649990873;3141,0.172974335036;2422,0.171701848295;458,0.1698416363;95,0.16932125837;445,0.169015615144;292,0.167823540031;714,0.167754526158;1449,0.166751351405;28912,0.166735914725;21345,0.166517472537;427,0.166187992164;275,0.166115157142;408,0.165997254965;1840,0.165904987424;82,0.165330101367;283,0.164878802138;475,0.164861206678;386,0.164613454715;421,0.1644381556;1448,0.164296361315;984,0.164233289538;54,0.164191405184;1092,0.163977667007;412,0.16393534489;390,0.163914464857;734,0.163650104211;201423,0.163588210624;61657,0.163426893001;237,0.163160170314;433,0.163131590429;3541,0.163101777897;80514,0.162904104303;36799,0.162731505316;1176,0.162722377372;51519,0.16270795541;849,0.162303002547;51068,0.162246704584;727,0.162110805237;58,0.161636284306;18992,0.161609922632;506,0.16130936741;131121,0.161289692629;863,0.161195280657;462,0.161108292229;2854,0.16089496232;35621,0.160886561335;226,0.160767730221;675,0.160511132696;52239,0.160187050944;129,0.160117302777;2753,0.160064567042;116110,0.159770594916;63032,0.15963954086;3320,0.15948479432;1195,0.159356868609;1013,0.159299418579;295,0.159178346316;100,0.159158275898;40697,0.158960871992;14410,0.158548337886;67572,0.158533675131;979,0.158524356424;32621,0.158435453521;1984,0.158416889498;69363,0.158371059182;87546,0.158370614281;5134,0.158233632819;4947,0.158107061415;27664,0.158080468706;155528,0.158036081574;364,0.157945086311;141,0.157877367048;84202,0.157794969071;21993,0.15778869558;44499,0.157745642092;1615,0.157677295684;74114,0.157633475439;216,0.157594634412;1051,0.15757903055;347,0.157322016803;34714,0.157317149296;99503,0.157209716078;328,0.157155706048;37005,0.157103258129;484,0.156904300374;444,0.156876169386;16705,0.156810809079;20663,0.156778877928;1593,0.156699435525;23807,0.156698805411;44315,0.156585072117;24076,0.156550848758;739,0.156497558089;136,0.156430753163;84393,0.156427669935;278,0.156408227866;83973,0.156403131727
223,452,3772,6634,356,10671,17848,1420,10350,813,26815,92,1418,95,54,266,718,3075,2580,129,754,774,865,1178,437,989	294,0.0689166795512;473,0.0668863619854;476,0.0656374955049;3141,0.063801310909;275,0.0632578821823;1195,0.0632162885437;2422,0.0631218126423;284,0.0626056503951;390,0.0611970067231;408,0.0611893365119;727,0.061121056487;635,0.0607185263983;675,0.060504489296;849,0.0604831068397;1325,0.0601915202603;61657,0.0601484303096;412,0.0595651412081;734,0.0594187731002;34714,0.0593728325769;1176,0.0593340308594;4178,0.0592700832273;136,0.0591435889346;3541,0.0591033233228;475,0.058982455623;54,0.0589620138483;52220,0.0589156112087;21345,0.0588712242234;347,0.0588420904349;92,0.0588080345209;1092,0.058537263477;182933,0.0584315546211;95800,0.0584300330504;5134,0.058362098718;424,0.0583437971858;70250,0.0582905346211;536,0.0582685777586;421,0.0581819644847;1406,0.0581600329327;74578,0.057955017947;100,0.0579387881848;151688,0.0579305643046;8854,0.0579209234605;439,0.0579047806962;51068,0.0578515694163;386,0.0578216882799;123,0.0577766730911;283,0.0577546903261;714,0.0577483590855;2740,0.0577248691315;37128,0.0576538960831;18045,0.0576040203779;84388,0.0574999197211;984,0.0574959531702;295,0.0574537840841;9554,0.0574483229559;80514,0.0573304531557;268,0.0573263945107;141,0.0573222073027;1840,0.0573074190949;196794,0.0572970256964;289,0.0572722921518;3036,0.0572019960643;124027,0.0571954003205;20663,0.0570969220881;28064,0.0570806870857;109319,0.0570490124463;216,0.0569984621991;87155,0.0569870195618;364,0.0569161182525;11048,0.0568992534743;1689,0.0568646429327;1593,0.0568592088547;506,0.0568413245954;131121,0.056794906454;31,0.0567707213099;458,0.0567469286967;82,0.0567350614232;64348,0.0566815855681;893,0.0566780672362;436,0.0566172682339;292,0.056604598884;88457,0.0565618356454;2769,0.056549254276;1448,0.0565355818585;1304,0.0565238324222;44887,0.0564946594997;3479,0.0564838456001;22520,0.0564713059471;28912,0.0563876609511;433,0.0563488549706;2597,0.0563261410372;3440,0.056294049476;186547,0.0562923015943;1051,0.0562494058361;1142,0.0562459380424;2146,0.0562371935141;2936,0.0562355105605;155528,0.0561635422228;237,0.0561409490783;3806,0.0561312977912
2104,1453,727,863,439	294,0.783951195635;476,0.754500938065;445,0.7440316167;412,0.742680237198;292,0.73592368226;408,0.732784290432;484,0.731616059878;1325,0.729970866347;131121,0.725561354983;1176,0.724013039664;444,0.721957665013;536,0.711305500563;2002,0.709989131754;675,0.709852122861;727,0.707546064872;283,0.70708854742;956,0.706926752689;310,0.706507008369;734,0.706199216662;54,0.705441125675;95,0.703890847274;216,0.703369672665;464,0.697818906114;337,0.696296948966;390,0.69346895093;3141,0.689370983251;3541,0.687936284189;510,0.687279297097;3320,0.684097277195;789,0.681384038337;284,0.679796631127;289,0.679587656434;475,0.676877134206;93,0.676135153519;3793,0.673728186494;473,0.667437636819;347,0.662878655242;333,0.660722235485;424,0.657984095181;531,0.657855059133;688,0.656232619296;68,0.655177069116;427,0.651874483157;6608,0.647193799211;1931,0.642966136619;3884,0.642624552955;386,0.641704792004;428,0.638269332842;1689,0.638008977567;2479,0.637746393104;523,0.637551329056;268,0.636347802743;984,0.636295966811;1593,0.636220234868;1346,0.636141364391;182933,0.631901643091;714,0.631665699051;100,0.630732455181;4628,0.630619444793;4134,0.627769835153;108,0.627503504915;328,0.627096553834;865,0.626842060409;979,0.623502265159;449,0.619776492118;1619,0.617619023526;4616,0.617403241627;879,0.615762898765;87166,0.614476751311;129,0.613807739527;151688,0.612876298182;1367,0.612713245479;51519,0.612590094175;3250,0.612090431817;223,0.610527383515;74578,0.60973231049;18045,0.609197576255;5994,0.60864710434;509,0.606554287405;72514,0.606516222207;275,0.605052353365;18945,0.604641586131;505,0.604459575567;226,0.604448495542;64572,0.604177774742;69881,0.604064747061;770,0.602042838762;27892,0.601366712159;92,0.597291238233;5552,0.596783146561;863,0.596676244737;1494,0.596165074809;35282,0.595411741694;34395,0.593605782603;38322,0.592487785872;463,0.591979400623;436,0.589552996181;1983,0.588359273325;900,0.587544209935;389,0.586740120099
3816,548,27431	294,0.71157844511;473,0.626110726428;390,0.559774167876;54,0.553963921672;412,0.529263688513;284,0.51655532014;275,0.515461578223;424,0.514030884589;445,0.509200530841;464,0.506913161778;216,0.506467503179;476,0.502236917592;1092,0.500693678411;347,0.497976282486;283,0.492517940455;289,0.491454820583;3141,0.486276095984;675,0.482265881165;1325,0.481759577444;124409,0.481754748454;462,0.478131751748;408,0.476175392871;108,0.472015049464;734,0.470835388913;3793,0.466494229635;506,0.465166300775;100,0.461527651808;979,0.460780588944;1346,0.458762888516;1449,0.45839843588;4708,0.458255150252;82,0.456528784914;427,0.456201578061;61657,0.450981441387;114174,0.450767681657;5994,0.450416142905;475,0.446029244739;148349,0.44281063388;4134,0.440850321615;123,0.440802527059;729,0.438198261755;295,0.43655450887;1862,0.435406700412;52239,0.435308406836;433,0.432781568777;1466,0.432478202639;6608,0.431657722512;36011,0.430713151399;849,0.430260041653;484,0.427490600348;237,0.422696267718;16705,0.421735938539;18202,0.421414463024;1448,0.420350776864;1142,0.41850771165;95,0.417855049718;444,0.41673490884;152344,0.414890308822;7640,0.413540030269;2936,0.413185291482;36799,0.412026238486;984,0.409700041438;56921,0.408332847487;74578,0.407167070015;2422,0.40518009127;1025,0.404856152746;1982,0.403421571377;635,0.402953575383;72131,0.402897522356;8854,0.401441725299;292,0.401416604458;1028,0.401072755992;3541,0.400468880049;8382,0.399813585931;659,0.39954971955;320,0.398528220475;51156,0.398328184683;1176,0.397438536372;92,0.397122234701;20663,0.395265488942;17738,0.393316875204;458,0.391380297325;68,0.391068924161;8305,0.387956264636;328,0.387502273444;1688,0.387379797386;1984,0.386997296455;463,0.385848484421;94255,0.385844889748;2473,0.385780562026;169508,0.385724662504;308,0.38438192195;4178,0.384293886112;386,0.383467774477;1931,0.383020143447;569,0.382348551603;16602,0.381945408099;34371,0.381598308013;10737,0.38035970077;360,0.380355191375
123,640,1406	294,0.769257391368;476,0.747170577539;445,0.735970361392;412,0.727634387438;444,0.718322432211;727,0.71674842156;484,0.712041191642;283,0.708779343725;1325,0.70511795955;408,0.705059880785;54,0.703801826522;292,0.699588064891;337,0.697702482166;216,0.697439624113;2002,0.695092272759;956,0.694699422805;390,0.693511812359;310,0.691565352136;475,0.690567365237;734,0.689768660893;536,0.685189704037;675,0.678857263252;3541,0.676493040943;131121,0.675000371319;1176,0.674669127148;464,0.672543677289;473,0.66932964679;3793,0.66778879025;284,0.663382015122;93,0.661309211512;289,0.659107605242;789,0.658683331799;95,0.658226315013;523,0.653350823355;424,0.651224314824;3320,0.648145434573;87166,0.645954187646;328,0.644365259387;428,0.643638887801;427,0.640337999904;68,0.64032718275;6608,0.639796857816;1689,0.638038463611;3141,0.63614733822;531,0.633241174156;1593,0.632909599288;268,0.632305967723;347,0.632229053625;386,0.631178095444;3884,0.62902454785;510,0.6289301432;714,0.628551799956;1346,0.628412335404;333,0.627381242061;2479,0.626899291313;72514,0.623826894545;984,0.622084569496;275,0.620821438702;865,0.620567759154;863,0.619264464902;1619,0.619062406365;100,0.618167416535;463,0.612858048114;440,0.611475195751;18045,0.607012191534;4628,0.606409231594;51519,0.606302586464;108,0.605055700551;1376,0.60502486334;1931,0.603226522285;129,0.601915763879;92,0.600880281729;69881,0.597956222546;688,0.596296929588;10737,0.593632627735;35282,0.592286709494;182933,0.592114897188;5994,0.591106429377;4616,0.590393552794;4134,0.58960098114;27892,0.58930599886;151688,0.58851997051;12434,0.586947472115;74578,0.586941070503;3250,0.585257112326;113,0.585000457455;505,0.583620631997;879,0.583015660368;389,0.582495522598;1198,0.582109934877;979,0.5804832848;8305,0.579630510098;64572,0.57959910334;1983,0.579453454706;32040,0.575723610572;1463,0.572468684659;2422,0.571398183463;691,0.570638583305;1367,0.570324296876;223,0.570167110472
